TIME,RPM,TPS,Velocidade,itotal
161.273,10125,80.7,42.8,-14.71555199
161.313,10048,80.7,44.3,-14.10916117
161.353,9883,81,45.3,-13.57112616
161.393,9644,81.1,46.5,-12.90118323
161.433,9424,81.3,48,-12.212915
161.473,9497,81,48.8,-12.10575584
161.513,9766,80.7,49.9,-12.17422906
161.553,10018,80.7,51,-12.21901353
161.593,10020,80.5,51.8,-12.03270463
161.633,10078,80.6,52.6,-11.91828878
161.673,10262,80.9,53.7,-11.88729441
161.713,10472,81.2,54,-12.06316222
161.753,10622,81.5,55.1,-11.99167895
161.793,10725,81.6,56.4,-11.82887633
161.833,10846,81.7,56.5,-11.94115805
161.873,10974,81.8,57.6,-11.85134844
161.913,11122,82,57.8,-11.96961955
161.953,11269,81.9,58.5,-11.98270333
161.993,11391,79.7,59.4,-11.92890833
162.033,11494,44.1,59.7,-11.97628593
162.073,11408,2.6,60.6,-11.71014257
162.113,11036,1.6,60.3,-11.38464975
162.153,10504,32.1,60.2,-10.85384252
162.193,10153,90.2,60.4,-10.45641333
162.233,10171,99.5,59.9,-10.56238823
162.273,10423,100,60.1,-10.78806514
162.313,10099,100,60.3,-10.41804801
162.353,9268,100,61.9,-9.313666236
162.393,8563,100,63.2,-8.428186946
162.433,8515,100,63.2,-8.380942642
162.473,8771,100,64.4,-8.472050543
162.513,8872,100,64.7,-8.529872643
162.553,8859,100,66.4,-8.29930866
162.593,8905,100,67.2,-8.24308817
162.633,9092,100,67.6,-8.366388462
162.673,9231,99.5,68.7,-8.358287555
162.713,9418,92.3,68.8,-8.515213517
162.753,9471,87.3,69.7,-8.452561765
162.793,9621,86,69.2,-8.648472616
162.833,9722,85.7,70.3,-8.602517923
162.873,9852,85.8,70.3,-8.717548506
162.913,9904,85.8,72.2,-8.53294072
162.953,10033,85.9,72.2,-8.644082618
162.993,10058,85.9,73,-8.570656027
163.033,9998,85.8,73.1,-8.507874008
163.073,9999,85.9,73.7,-8.439454478
163.113,10133,86.2,73.5,-8.575826735
163.153,10190,86.2,74.8,-8.474183824
163.193,10181,86.4,75.4,-8.399325
163.233,10228,86.4,76.1,-8.360482786
163.273,10335,87.1,76.2,-8.436859252
163.313,10407,89.1,77.6,-8.342363853
163.353,10532,90.6,77.4,-8.46438062
163.393,10444,91.7,77.8,-8.350501542
163.433,10529,92,77.9,-8.407656547
163.473,10646,92.2,78.9,-8.393338783
163.513,10660,92.4,79,-8.393737975
163.553,10746,92.5,79.9,-8.366144305
163.593,10770,92.4,79.5,-8.427016981
163.633,10839,91,80.6,-8.365260484
163.673,11003,80.9,80.5,-8.502380311
163.713,11045,59.2,81.6,-8.419782169
163.753,11001,33,81.5,-8.396530123
163.793,10940,17.5,82,-8.299057317
163.833,10745,14,81.6,-8.191087316
163.873,10406,13.9,81.7,-7.922952632
163.913,9981,14.2,81.7,-7.59936481
163.953,9935,15,81.9,-7.545869048
163.993,10475,16,80.5,-8.094377329
164.033,10332,16.7,79.8,-8.053910526
164.073,10359,17.2,79.3,-8.125871311
164.113,10377,18.8,78.2,-8.254492136
164.153,10221,19.7,78.3,-8.120016667
164.193,10162,21,77.4,-8.167018217
164.233,10248,27.4,77.4,-8.236134884
164.273,10413,32.7,76.6,-8.456144452
164.313,10690,35.6,76.6,-8.681089426
164.353,11042,38.7,76.1,-9.025855585
164.393,10658,39.9,76.7,-8.643818644
164.433,10240,38.6,77.3,-8.240351876
164.473,10314,32.4,77.4,-8.289177907
164.513,10435,26.7,77.3,-8.397272639
164.553,10342,16.4,78.4,-8.205664668
164.593,10218,3.1,78.2,-8.128013939
164.633,9972,0.9,78.9,-7.861955133
164.673,9549,0.7,77.8,-7.634904177
164.713,9506,0.7,78.2,-7.561646164
164.753,9793,0.8,77.7,-7.840071622
164.793,9930,1.1,77.4,-7.980563953
164.833,10086,1.4,76.3,-8.222799869
164.873,9881,2.4,76.3,-8.05566979
164.913,9782,3.9,75.6,-8.048800397
164.953,9797,4.5,74.8,-8.147358088
164.993,9646,4.6,74.3,-8.075766218
165.033,9439,5.3,74.1,-7.923792105
165.073,9441,6,72.7,-8.078093604
165.113,9334,6.5,72.7,-7.986540165
165.153,9115,6.8,72,-7.874980208
165.193,9023,7,71.7,-7.82811318
165.233,8852,7.1,70.1,-7.855045078
165.273,8685,7.2,69.4,-7.784588256
165.313,8634,7.2,67.4,-7.968515875
165.353,8318,7.1,67.6,-7.654159615
165.393,8182,6.8,67.4,-7.551354748
165.433,7989,6.7,67.5,-7.362307333
