TIME,RPM,TPS,Velocidade,itotal
160.52,10788,100,22.1,30365.04706
160.56,10741,100,23,29.049735
160.6,10564,100,24.1,27.26695519
160.64,10426,100,25.3,25.63436087
160.68,10447,99.9,26.5,24.52285415
160.72,10555,99.8,27.3,24.05032143
160.76,10456,96.7,29,22.42812
160.8,10395,94.7,30.3,21.34062624
160.84,10291,94.4,31.5,20.32227476
160.88,10045,94.3,32.9,18.99237766
160.92,10003,94.3,34.3,18.14100918
160.96,10116,94.4,35.2,17.87686875
161,10257,94.4,36,17.72324125
161.04,10364,94.7,36.8,17.5188212
161.08,10368,94.7,37.8,17.06194286
161.12,10369,93.7,38.3,16.84082624
161.16,10330,86.9,39.4,16.30907741
161.2,10265,82.1,40.5,15.76627963
161.24,10131,80.9,41.3,15.25905218
161.28,10125,80.7,43.2,14.57929688
161.32,10051,80.8,44.5,14.04994281
161.36,9829,81.1,45.4,13.46724548
161.4,9581,81.1,46.7,12.7620151
161.44,9415,81.3,48.3,12.12546739
161.48,9530,80.9,49,12.09823776
161.52,9828,80.6,50.2,12.17830159
161.56,10043,80.7,51.2,12.20165654
161.6,10005,80.5,51.9,11.99154191
161.64,10103,80.7,52.9,11.88009669
161.68,10299,81,53.9,11.88588673
161.72,10506,81.3,54,12.10232833
161.76,10639,81.5,55.3,11.9674321
161.8,10741,81.6,56.6,11.80466263
161.84,10871,81.7,56.5,11.96868239
161.88,10996,81.8,57.6,11.87510729
161.92,11141,82,57.7,12.01084757
161.96,11293,81.8,58.8,11.94695689
162,11417,78.9,59.6,11.91601485
162.04,11506,34.3,59.7,11.98878945
162.08,11374,1.4,60.8,11.63683668
162.12,10960,2,60,11.36278
162.16,10426,43.2,60.3,10.75537861
162.2,10125,96.3,60.5,10.41034091
162.24,10198,99.8,59.9,10.59042721
162.28,10470,100,60.2,10.81871013
162.32,9943,100,60.4,10.24013767
162.36,9164,100,62.3,9.150026003
162.4,8473,100,63.4,8.313295978
162.44,8556,100,63.2,8.421297152
