TIME,RPM,TPS,Velocidade,itotal
159.64,12381,76.2,0.3,-42811.59521
159.72,12403,84.3,1,-12866.30035
159.8,12390,91,2,-6426.407375
159.84,12256,94.2,2.9,-4384.072182
159.88,12167,95.7,4,-3155.371208
159.92,11979,96.7,5.3,-2344.615528
159.96,11714,97.4,6.1,-1992.059593
160,11406,98.3,7.5,-1577.607802
160.04,11133,99.3,8.9,-1297.624821
160.08,10734,99.9,10.1,-1102.47096
160.12,10067,99.8,11.2,-932.4144333
160.16,9262,99.8,12.6,-762.5374419
160.2,9539,99.8,13.4,-738.4566266
160.24,9956,99.9,14.6,-707.3900939
160.28,10224,100,15.4,-688.6952087
160.32,10374,100,16.7,-644.4017544
160.36,10490,100,17.6,-618.2864972
160.4,10529,100,18.9,-577.899426
160.44,10479,100,19.9,-546.2528371
160.48,10602,100,20.5,-536.4890725
160.52,10788,100,22.1,-506.3789055
160.56,10741,100,23,-484.4442686
160.6,10564,100,24.1,-454.7139643
160.64,10426,100,25.3,-427.4882095
160.68,10447,99.9,26.5,-408.9523069
160.72,10555,99.8,27.3,-401.0721741
160.76,10456,96.7,29,-374.0197351
160.8,10395,94.7,30.3,-355.8842815
160.84,10291,94.4,31.5,-338.9018706
160.88,10045,94.3,32.9,-316.7240081
160.92,10003,94.3,34.3,-302.5262683
160.96,10116,94.4,35.2,-298.1213635
161,10257,94.4,36,-295.5594137
161.04,10364,94.7,36.8,-292.1504283
161.08,10368,94.7,37.8,-284.5313538
161.12,10369,93.7,38.3,-280.8439303
161.16,10330,86.9,39.4,-271.9762875
161.2,10265,82.1,40.5,-262.9243882
161.24,10131,80.9,41.3,-254.4656732
161.28,10125,80.7,43.2,-243.129819
161.32,10051,80.8,44.5,-234.3021122
161.36,9829,81.1,45.4,-224.5848332
161.4,9581,81.1,46.7,-212.8241469
161.44,9415,81.3,48.3,-202.2088388
161.48,9530,80.9,49,-201.7547472
161.52,9828,80.6,50.2,-203.0899218
161.56,10043,80.7,51.2,-203.4793976
161.6,10005,80.5,51.9,-199.9754472
161.64,10103,80.7,52.9,-198.1169451
161.68,10299,81,53.9,-198.213502
161.72,10506,81.3,54,-201.8229632
161.76,10639,81.5,55.3,-199.573383
161.8,10741,81.6,56.6,-196.8589784
161.84,10871,81.7,56.5,-199.5942333
161.88,10996,81.8,57.6,-198.0337399
161.92,11141,82,57.7,-200.2973958
161.96,11293,81.8,58.8,-199.2319307
162,11417,78.9,59.6,-198.7159297
162.04,11506,34.3,59.7,-199.9295462
162.08,11374,1.4,60.8,-194.0602499
162.12,10960,2,60,-189.489978
162.16,10426,43.2,60.3,-179.3607247
162.2,10125,96.3,60.5,-173.6067468
162.24,10198,99.8,59.9,-176.6099334
162.28,10470,100,60.2,-180.416865
162.32,9943,100,60.4,-170.7683737
162.36,9164,100,62.3,-152.589263
162.4,8473,100,63.4,-138.6356395
162.44,8556,100,63.2,-140.4367076
162.48,8814,100,64.6,-141.5361799
162.52,8869,100,64.7,-142.1992533
162.56,8850,100,66.8,-137.4338617
162.6,8928,100,67.1,-138.0252693
162.64,9115,100,67.9,-139.2559756
162.68,9257,99.3,68.8,-139.5753634
162.72,9446,90.8,69.2,-141.6018047
162.76,9489,86.8,69.7,-141.2259842
162.8,9659,85.9,69.2,-144.794816
162.84,9735,85.7,70.5,-143.2431228
162.88,9873,85.9,70.2,-145.8945156
162.92,9918,85.9,72.4,-142.106021
162.96,10072,85.9,72.1,-144.9130156
163,10040,85.9,73.2,-142.2818729
163.04,9984,85.8,72.7,-142.4613656
163.08,10006,85.9,73.7,-140.8380335
163.12,10164,86.2,73.3,-143.8426328
163.16,10195,86.2,74.9,-141.1992383
163.2,10185,86.5,75.5,-139.9397273
163.24,10240,86.4,76.1,-139.5861219
163.28,10365,87.3,76.1,-141.2900541
163.32,10413,89.4,77.7,-139.0214427
163.36,10552,90.9,77,-142.1578999
