TIME;RPM;TPS;Distância;Temp. do motor;Pressão de Combustível;Tensão da Bateria;Eletroventilador 1;Velocidade de referência;Velocidade da roda frontal esquerda;Velocidade da roda frontal direita
0,020;5245;0,0;0,00;46,0;2,89;14,44;OFF;0,0;0,0;0,0
0,060;5242;0,0;0,00;46,3;2,90;14,45;OFF;0,0;0,0;0,0
0,100;4982;0,0;0,00;46,6;2,90;14,46;OFF;0,0;0,0;0,0
0,140;4660;0,0;0,00;46,7;2,90;14,44;OFF;0,0;0,0;0,0
0,180;4410;0,1;0,00;46,7;2,90;14,49;OFF;0,0;0,0;0,0
0,220;4068;3,4;0,00;46,9;2,91;14,49;OFF;0,0;0,0;0,0
0,260;3807;14,1;0,00;47,1;2,87;14,44;OFF;0,0;0,0;0,0
0,300;3660;23,1;0,00;47,1;2,90;14,46;OFF;0,0;0,0;0,0
0,340;3959;31,2;0,00;47,2;2,90;14,46;OFF;0,0;0,0;0,0
0,380;4323;34,1;0,00;47,2;2,91;14,46;OFF;0,0;0,0;0,0
0,420;4887;30,8;0,00;47,3;2,91;14,48;OFF;0,0;0,0;0,0
0,460;5387;12,5;0,00;47,1;2,91;14,46;OFF;0,0;0,0;0,0
0,500;5896;0,7;0,00;46,7;2,91;14,43;OFF;0,0;0,0;0,0
0,540;5708;0,0;0,00;46,0;2,89;14,42;OFF;0,0;0,0;0,0
0,580;5325;0,0;0,00;45,6;2,89;14,41;OFF;0,0;0,0;0,0
0,620;5000;0,0;0,00;45,1;2,90;14,44;OFF;0,0;0,0;0,0
0,660;4657;0,0;0,00;45,2;2,90;14,46;OFF;0,0;0,0;0,0
0,700;4399;0,1;0,00;45,2;2,90;14,46;OFF;0,0;0,0;0,0
0,740;4056;1,4;0,00;45,7;2,91;14,48;OFF;0,0;0,0;0,0
0,780;3796;18,3;0,00;46,2;2,87;14,45;OFF;0,0;0,0;0,0
0,820;3535;32,2;0,00;46,6;2,90;14,44;OFF;0,0;0,0;0,0
0,860;3381;36,1;0,00;46,7;2,91;14,48;OFF;0,0;0,0;0,0
0,900;3926;34,8;0,00;46,6;2,92;14,51;OFF;0,0;0,0;0,0
0,940;4438;17,5;0,00;46,5;2,92;14,50;OFF;0,0;0,0;0,0
