TIME,RPM,TPS,Tempmotor,Pressaocomb,Velocidade
251.024,9130,63.7,68.5,2.88,41.1
251.064,9202,63.9,68.6,2.88,42.2
251.104,9314,63.9,68.6,2.89,42.3
251.144,9433,64.3,68.7,2.88,42.5
251.184,9575,64.8,68.7,2.88,43.5
251.224,9658,64.8,68.6,2.88,43.3
251.264,9702,64.1,68.6,2.88,43.9
251.304,9704,61.4,68.6,2.90,44.8
251.344,9728,60.3,68.5,2.90,46.1
251.384,9708,58.3,68.4,2.88,46.7
251.424,9607,56.3,68.4,2.90,47.7
251.464,9838,55.4,68.4,2.91,48.7
251.504,10041,58.5,68.4,2.87,48.7
251.544,10236,59.1,68.3,2.88,49.2
251.584,10237,50.0,68.2,2.88,50.1
251.624,10114,37.2,68.2,2.92,50.4
251.664,10112,30.9,68.2,2.91,50.5
251.704,10122,29.8,68.2,2.92,51.1
251.744,10053,29.6,68.1,2.90,50.7
251.784,9976,29.6,67.9,2.93,50.7
251.824,9848,30.6,67.8,2.90,50.9
251.864,9700,30.7,67.9,2.91,50.2
251.904,9536,30.6,68.0,2.91,49.7
251.944,9396,30.2,68.2,2.90,49.4
251.984,9201,28.9,68.1,2.91,48.1
252.024,9093,27.4,68.2,2.91,48.0
252.064,9105,26.7,68.2,2.91,47.3
252.104,9166,25.9,68.3,2.90,46.0
252.144,9038,23.7,68.3,2.91,45.4
252.184,8928,19.7,68.1,2.91,44.9
252.224,8795,14.2,68.0,2.91,43.5
252.264,8516,6.6,68.1,2.91,42.6
252.304,8290,2.9,68.4,2.91,42.7
252.344,8135,2.2,68.6,2.90,42.0
252.384,7970,2.1,68.7,2.92,41.1
252.424,7815,3.4,68.7,2.92,40.3
252.464,7689,4.8,68.7,2.93,39.7
252.504,7503,6.1,68.7,2.92,38.3
252.544,7239,6.4,68.7,2.92,37.2
252.584,7111,6.5,68.6,2.93,36.3
252.624,7011,6.6,68.7,2.92,35.5
252.664,6858,6.1,68.6,2.93,34.0
252.704,6651,4.0,68.5,2.93,33.3
252.744,6463,3.1,68.4,2.92,32.9
252.784,6353,3.5,68.4,2.93,32.1
252.824,6162,4.4,68.5,2.91,31.3
252.864,5963,4.6,68.5,2.92,30.4
252.904,5785,4.7,68.6,2.93,29.8
252.944,5688,5.1,68.7,2.93,29.3
252.984,5572,6.8,68.7,2.93,28.7
253.024,5408,7.7,68.7,2.93,27.6
253.064,5281,7.9,68.7,2.93,27.0
253.104,5222,7.9,68.6,2.94,26.5
253.144,5181,8.1,68.6,2.93,26.3
253.184,5135,8.0,68.5,2.94,25.9
253.224,5089,8.1,68.5,2.94,25.4
253.264,5060,8.1,68.5,2.94,25.0
253.304,4993,8.2,68.6,2.93,24.9
253.344,4867,8.4,68.7,2.94,24.8
253.384,4739,8.6,68.8,2.95,25.1
253.424,4556,10.3,68.8,2.94,25.1
253.464,4687,12.7,68.8,2.93,25.1
253.504,5086,14.2,68.8,2.93,24.6
253.544,5372,14.4,68.6,2.94,24.7
253.584,5626,14.4,68.5,2.94,24.8
253.624,5380,14.7,68.4,2.94,25.6
253.664,4761,14.4,68.5,2.95,26.0
253.704,4425,13.3,68.5,2.95,25.6
253.744,4294,14.2,68.6,2.95,25.3
253.784,4487,15.4,68.6,2.95,25.7
253.824,4785,15.6,68.7,2.95,25.9
253.864,5199,15.6,68.7,2.94,26.0
253.904,5206,13.9,68.7,2.94,25.8
253.944,4879,4.8,68.7,2.95,25.6
253.984,4525,0.2,68.8,2.93,26.1
254.024,4282,0.0,68.9,2.93,26.5
254.064,3991,0.1,69.0,2.94,26.6
254.104,3872,1.1,69.0,2.94,25.7
254.144,4068,8.6,69.0,2.93,24.6
254.184,4474,12.2,69.0,2.94,23.1
254.224,4574,9.7,69.0,2.93,22.6
254.264,4458,8.4,69.0,2.93,23.2
254.304,4470,8.3,69.0,2.93,23.6
254.344,4536,9.0,69.0,2.94,23.8
254.384,4328,9.9,69.0,2.93,23.6
254.424,4275,15.8,69.0,2.93,23.3
254.464,4368,23.5,69.1,2.92,23.2
254.504,4568,27.4,69.1,2.94,23.4
254.544,4751,29.5,69.0,2.93,23.9
254.584,4877,29.8,69.0,2.93,24.5
254.624,5012,29.8,69.0,2.92,24.6
254.664,4937,29.1,69.0,2.92,24.6
254.704,5207,27.3,69.0,2.93,24.7
254.744,5456,25.0,69.0,2.93,25.1
254.784,5725,13.7,69.0,2.93,25.6
254.824,5806,5.3,69.0,2.93,26.0
254.864,5355,4.1,69.0,2.92,25.8
254.904,5031,4.1,69.0,2.93,25.6
254.944,4652,4.2,69.0,2.93,25.1
254.984,4170,4.5,69.0,2.93,24.5
255.024,3894,5.0,69.1,2.94,23.7
255.064,3700,6.0,69.1,2.94,22.8
255.104,3697,9.3,69.1,2.94,21.6
255.144,3791,22.8,69.1,2.94,21.4
255.184,4168,57.5,69.1,2.93,21.6
255.224,4912,93.2,69.0,2.92,21.5
255.264,5750,99.7,69.0,2.91,21.9
255.304,5857,100.0,69.0,2.91,22.4
255.344,6229,100.0,68.9,2.90,23.1
255.384,6501,100.0,68.8,2.91,24.0
255.424,6642,100.0,68.8,2.90,25.1
255.464,6747,100.0,68.8,2.89,25.8
255.504,6744,100.0,68.7,2.92,26.6
255.544,6732,100.0,68.6,2.91,27.1
255.584,6803,100.0,68.4,2.91,27.6
255.624,6956,100.0,68.3,2.90,28.0
255.664,7017,100.0,68.4,2.89,28.5
255.704,6974,99.7,68.5,2.90,28.7
255.744,6964,97.9,68.4,2.90,28.4
255.784,7034,91.2,68.4,2.89,28.5
255.824,7125,81.7,68.4,2.90,28.7
255.864,7083,75.4,68.5,2.90,29.5
255.904,7074,74.9,68.6,2.91,30.0
255.944,7079,78.9,68.6,2.90,30.2
255.984,7184,84.5,68.7,2.90,30.9
256.024,7045,86.3,68.7,2.89,31.4
256.064,6986,86.2,68.7,2.89,32.3
256.104,7140,84.1,68.7,2.89,32.9
256.144,7167,81.0,68.8,2.89,33.9
256.184,7169,79.1,68.9,2.89,35.0
256.224,7269,78.9,69.1,2.88,35.7
256.264,7366,79.0,69.1,2.89,36.5
256.304,7674,79.6,69.1,2.89,36.7
256.344,7969,81.4,69.0,2.87,37.7
256.384,8191,81.8,68.8,2.88,39.1
256.424,8388,82.1,68.7,2.87,40.1
256.464,8724,82.1,68.7,2.86,40.8
256.504,8871,81.8,68.7,2.89,41.8
256.544,8992,81.9,68.7,2.88,42.8
256.584,9143,82.0,68.9,2.87,42.9
256.624,9190,82.4,68.9,2.88,44.4
256.664,9265,82.5,69.0,2.88,45.3
256.704,9463,83.1,68.8,2.87,45.7
256.744,9630,84.8,68.8,2.87,46.9
256.784,9731,87.0,68.9,2.85,47.8
256.824,9974,90.0,69.0,2.89,47.8
256.864,10198,93.6,68.9,2.85,48.9
256.904,10372,94.4,68.7,2.85,49.7
256.944,10569,94.4,68.5,2.86,49.9
256.984,10677,95.1,68.5,2.85,51.2
257.024,10814,96.3,68.5,2.84,51.9
257.064,10973,99.2,68.5,2.86,52.2
257.104,10956,100.0,68.6,2.86,53.8
257.144,11091,100.0,68.7,2.85,54.3
257.184,11188,100.0,68.7,2.86,54.4
257.224,11285,100.0,68.7,2.86,55.9
257.264,11444,100.0,68.7,2.86,56.3
257.304,11531,99.9,68.7,2.86,56.6
257.344,11596,97.0,68.8,2.86,57.8
257.384,11658,81.4,68.8,2.86,57.7
257.424,11727,54.5,69.0,2.88,58.7
257.464,11568,28.1,69.0,2.90,58.7
257.504,11268,18.5,69.0,2.90,58.5
257.544,10840,16.1,69.0,2.89,58.5
257.584,10361,16.2,69.0,2.91,57.7
257.624,10243,16.7,69.0,2.91,57.1
257.664,10194,17.9,68.8,2.91,55.9
257.704,10074,18.4,68.8,2.92,54.3
257.744,10106,18.5,68.7,2.90,54.0
257.784,9960,18.4,68.5,2.90,52.5
257.824,9920,18.3,68.5,2.91,51.4
257.864,9756,18.4,68.4,2.90,50.6
257.904,9609,18.3,68.6,2.91,48.8
257.944,9404,18.1,68.7,2.91,47.9
257.984,9180,17.6,68.5,2.91,47.6
258.024,9006,17.3,68.4,2.93,46.0
258.064,8872,17.1,68.2,2.91,45.0
258.104,8657,17.0,68.1,2.92,44.7
258.144,8478,16.8,67.9,2.92,43.3
258.184,8329,16.8,67.6,2.91,42.0
258.224,8134,16.7,67.5,2.91,41.8
258.264,7971,16.4,67.8,2.91,40.9
258.304,7870,16.3,67.7,2.92,39.5
258.344,7716,16.1,67.6,2.92,38.9
258.384,7530,16.0,67.6,2.92,38.1
258.424,7393,15.2,67.9,2.93,37.3
258.464,7291,14.4,68.4,2.92,36.6
258.504,7143,13.6,68.4,2.92,35.6
258.544,7019,13.4,68.3,2.93,35.1
258.584,6950,13.3,68.3,2.92,34.6
258.624,6873,13.1,68.5,2.92,34.2
258.664,6777,13.1,68.4,2.93,33.9
258.704,6758,13.3,68.5,2.92,34.0
258.744,6738,13.6,68.7,2.92,34.3
258.784,6707,14.2,68.8,2.92,34.1
258.824,6726,15.3,68.9,2.94,33.3
258.864,6736,15.9,68.9,2.91,33.4
258.904,6780,16.3,69.0,2.93,34.0
258.944,6794,16.8,69.0,2.92,33.7
258.984,6771,17.1,69.1,2.92,32.9
259.024,6635,17.1,69.1,2.92,33.0
259.064,6467,15.2,69.2,2.93,33.2
259.104,6404,14.5,69.1,2.92,33.1
259.144,6455,14.7,69.0,2.93,32.6
259.184,6515,15.0,69.0,2.93,32.4
259.224,6512,14.6,68.9,2.93,32.6
259.264,6462,13.9,68.8,2.93,32.7
259.304,6410,11.6,68.7,2.93,32.5
259.344,6392,8.6,68.7,2.93,32.4
259.384,6327,7.3,68.7,2.92,32.0
259.424,6221,5.3,68.5,2.93,32.2
259.464,6095,3.8,68.5,2.93,31.9
259.504,5876,3.4,68.5,2.93,31.1
259.544,5550,3.0,68.6,2.93,30.7
259.584,5273,1.4,68.6,2.93,30.5
259.624,5240,0.1,68.6,2.92,30.1
259.664,5451,0.1,68.4,2.92,29.0
259.704,5419,0.4,68.4,2.93,27.8
259.744,5256,0.5,68.4,2.93,26.3
259.784,5041,0.6,68.4,2.93,25.8
259.824,4843,0.7,68.4,2.92,24.5
259.864,4683,1.3,68.4,2.93,23.0
259.904,4568,2.0,68.4,2.95,21.2
259.944,4412,2.5,68.3,2.95,19.0
259.984,4214,2.8,68.4,2.95,18.0
260.024,4091,2.9,68.6,2.94,17.1
260.064,3986,3.0,68.7,2.94,17.0
260.104,3986,3.0,68.5,2.95,17.0
260.144,3901,4.1,68.2,2.95,16.9
260.184,3759,4.8,68.1,2.95,16.7
260.224,3767,4.8,68.2,2.94,16.9
260.264,3656,4.8,68.5,2.96,17.7
260.304,3500,4.8,68.8,2.95,18.4
260.344,3289,4.8,69.0,2.95,18.6
