TIME,RPM,TPS,Distância,Temp. do motor,Pressão de Combustível,Eletroventilador 1,Velocidade de referência
1374.460,7919,56.4,10494.03,94.2,2.83,ON,32.6
1374.500,8308,56.2,10494.40,93.8,2.83,ON,33.5
1374.540,8596,56.3,10494.78,93.7,2.83,ON,33.8
1374.580,8858,56.4,10495.16,93.5,2.83,ON,34.2
1374.620,9223,56.3,10495.55,93.3,2.82,ON,35.0
1374.660,9479,56.2,10495.95,93.5,2.83,ON,36.0
1374.700,9656,56.1,10496.36,93.1,2.81,ON,36.2
1374.740,9884,54.9,10496.76,92.9,2.81,ON,36.4
1374.780,10063,53.6,10497.18,91.7,2.81,ON,37.2
1374.820,10090,50.5,10497.61,89.4,2.81,ON,38.6
1374.860,10127,45.1,10498.04,82.0,2.82,ON,38.7
1374.900,10131,41.1,10498.48,80.3,2.82,ON,39.1
1374.940,10207,39.0,10498.93,80.3,2.81,OFF,40.3
1374.980,10064,38.0,10499.38,81.2,2.83,OFF,40.9
1375.020,9956,37.0,10499.84,81.6,2.82,OFF,41.5
1375.060,9804,33.4,10500.32,82.5,2.83,OFF,42.2
1375.100,9526,28.1,10500.80,89.5,2.84,ON,43.3
1375.140,9174,24.7,10501.30,91.5,2.84,ON,44.8
1375.180,9038,21.9,10501.81,92.9,2.82,ON,45.6
1375.220,8988,21.1,10502.32,94.0,2.83,ON,46.0
1375.260,8973,21.3,10502.84,94.6,2.83,ON,46.7
1375.300,9038,25.8,10503.36,94.4,2.83,ON,46.9
1375.340,9152,35.3,10503.87,94.2,2.82,ON,46.2
1375.380,9316,41.0,10504.38,94.0,2.81,ON,46.3
1375.420,9439,41.8,10504.90,94.0,2.82,ON,46.6
1375.460,9476,40.7,10505.42,93.3,2.82,ON,46.7
1375.500,9570,37.7,10505.95,93.3,2.82,ON,47.4
1375.540,9671,33.7,10506.48,92.8,2.83,ON,48.0
1375.580,9681,29.5,10507.01,93.1,2.81,ON,47.8
1375.620,9713,27.7,10507.56,92.7,2.83,ON,48.8
1375.660,9761,25.7,10508.11,92.9,2.82,ON,49.3
1375.700,9815,24.2,10508.66,92.0,2.82,ON,49.7
1375.740,9836,22.3,10509.21,91.7,2.82,ON,49.7
1375.780,9782,20.0,10509.76,91.5,2.81,ON,49.8
1375.820,9726,16.6,10510.31,91.9,2.82,ON,49.7
1375.860,9554,13.7,10510.86,92.2,2.82,ON,49.7
1375.900,9311,11.8,10511.41,92.4,2.82,ON,49.4
1375.940,9070,9.0,10511.96,92.9,2.82,ON,49.4
1375.980,8765,5.4,10512.51,92.5,2.82,ON,49.4
1376.020,8906,2.3,10513.04,92.3,2.83,ON,48.7
1376.060,8841,1.3,10513.57,92.2,2.83,ON,47.3
1376.100,8925,0.9,10514.09,92.9,2.82,ON,46.9
1376.140,8930,0.6,10514.59,93.4,2.82,ON,46.1
1376.180,8831,0.2,10515.09,93.1,2.82,ON,45.2
1376.220,8631,0.0,10515.58,93.0,2.83,ON,44.3
1376.260,8505,0.0,10516.07,92.4,2.83,ON,43.9
1376.300,8372,0.0,10516.55,91.9,2.83,ON,43.2
1376.340,8260,0.0,10517.02,91.4,2.82,ON,42.5
1376.380,8129,0.0,10517.49,91.2,2.83,ON,42.4
1376.420,8036,0.0,10517.94,90.7,2.83,ON,41.3
1376.460,7926,0.0,10518.39,91.0,2.83,ON,40.5
1376.500,7768,0.0,10518.83,90.2,2.83,ON,40.1
1376.540,7625,0.0,10519.27,91.2,2.84,ON,39.3
1376.580,7559,0.0,10519.69,89.5,2.82,ON,38.3
1376.620,7446,0.0,10520.12,84.1,2.84,OFF,38.1
1376.660,7294,0.0,10520.55,83.8,2.85,OFF,38.6
1376.700,7207,0.0,10520.97,89.4,2.86,OFF,38.1
1376.740,7144,0.0,10521.38,91.2,2.86,OFF,37.3
1376.780,7015,0.0,10521.80,91.7,2.86,OFF,37.3
1376.820,6893,0.0,10522.21,90.6,2.86,ON,37.4
1376.860,6794,0.0,10522.62,84.7,2.85,ON,36.8
1376.900,6698,0.0,10523.01,80.5,2.85,ON,36.0
1376.940,6584,0.0,10523.41,79.8,2.85,OFF,35.7
1376.980,6529,0.0,10523.81,81.2,2.86,OFF,35.5
1377.020,6444,1.2,10524.20,80.7,2.85,OFF,35.3
1377.060,6384,3.7,10524.58,80.2,2.87,OFF,34.3
1377.100,6335,4.4,10524.95,78.8,2.86,OFF,33.8
1377.140,6276,5.3,10525.33,77.8,2.86,OFF,33.8
1377.180,6183,6.7,10525.69,76.0,2.87,OFF,33.2
1377.220,6123,6.9,10526.05,74.9,2.86,OFF,32.3
1377.260,6033,7.1,10526.40,75.5,2.87,OFF,31.9
1377.300,5986,7.0,10526.75,79.2,2.88,OFF,31.7
1377.340,5929,7.1,10527.10,83.1,2.87,OFF,31.2
1377.380,5789,7.2,10527.44,90.6,2.88,OFF,30.6
1377.420,5729,8.5,10527.77,90.5,2.86,ON,30.0
1377.460,5760,12.4,10528.10,91.3,2.86,ON,29.6
1377.500,5657,18.4,10528.42,91.0,2.85,ON,29.5
1377.540,5562,23.3,10528.75,91.0,2.84,ON,29.3
1377.580,5599,26.4,10529.07,91.8,2.86,ON,28.8
1377.620,5996,35.6,10529.38,92.7,2.84,ON,28.4
1377.660,6500,45.0,10529.70,92.9,2.82,ON,28.4
1377.700,7188,46.5,10530.02,92.7,2.82,ON,28.7
1377.740,6937,46.1,10530.35,93.2,2.82,ON,29.4
